"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105370032",0.42195152230342,1.19007242369236,3.62338614410304,0.32844206395975,0.742577442879044,NA
"LOC105370034",0.322027939022779,1.18822189087782,11.5289076829471,0.103064568088734,0.917911725796814,NA
"LOC105370035",7.25236040354727,1.44430558398914,0.792655679784037,1.82210967614922,0.068438345829899,0.136354386134743
"LOC105370041",4.20952225452669,0.41455114856763,0.688652715245608,0.60197417274363,0.547191329406709,0.690692978977131
"LOC105370042",1.25079133999992,1.59608168158569,1.56548316581598,1.01954573286884,0.307943953161774,0.451908382371494
"LOC105370047",0.747799212649821,0.139478617518364,2.20948444262334,0.0631272231782541,0.949665196564888,NA
"LOC105370050",1.56609401525711,0.540214468491353,1.19778850124784,0.451009896929688,0.651982415993918,0.778644783650875
"LOC105370052",0.171110556018884,0.227027967436043,11.5289076845917,0.0196920622184757,0.984289022985483,NA
"LOC105370062",0.233513240717445,0.227717522804837,7.44854166405325,0.0305720949248099,0.975610796767543,NA
"LOC105370076",0.109026595144214,0.227309853173772,11.5289076836288,0.0197165125622919,0.984269518220463,NA
"LOC105370082",1.98375333146122,-0.733345633303515,3.55466280892627,-0.206305259520531,0.83655247040255,0.917888659802634
"LOC105370088",0.400251109618738,-1.78836997094878,9.68481785162132,-0.184657057917656,0.853498029668021,NA
"LOC105370091",1.08020949926706,0.228467435794142,1.89219278242203,0.120742155829228,0.903895267715065,0.956486370523347
"LOC105370092",6.25541813804728,-4.30919583957283,0.842443418657427,-5.11511603525878,3.13548146358995e-07,1.92979951965843e-06
"LOC105370094",5.5493356687721,2.06261062286812,0.823912552903827,2.50343390885184,0.0122994649611594,0.0315926197454725
"LOC105370101",0.0991606839101233,0.227205419054183,11.5289076842749,0.0197074541037469,0.98427674442063,NA
"LOC105370102",0.150771635175414,0.227098035459046,11.5289076836021,0.0196981398144122,0.984284174705926,NA
"LOC105370103",1.18181224276228,1.68809153129154,1.75448194604,0.962159533816631,0.335969472692765,0.48178884339533
"LOC105370105",0.728653481299064,0.228649647253407,1.9651559881509,0.116351907244042,0.907373648893737,NA
"LOC105370108",1.94247880346224,1.44476005982658,1.17342791293346,1.23123034990264,0.218236723253138,0.347509292723181
"LOC105370113",0.433229815705342,-1.67284761525901,3.41834274527197,-0.489373869127893,0.624577032476172,NA
"LOC105370115",0.223298839997886,-1.15081779323561,11.5013105923139,-0.100059709195635,0.920296922152861,NA
"LOC105370117",1.37209888598786,0.736092605815933,1.15495513876241,0.63733437006453,0.52390706782024,0.670213819290024
"LOC105370119",1.5463364025151,1.81194281219722,1.31511973902762,1.37777782389377,0.168271894833226,0.282883701925832
"LOC105370121",0.789122860322117,0.605008722028,1.82815894240141,0.330938797494971,0.740690715434541,0.847827847007101
"LOC105370122",0.385172461207111,-2.21748382582338,3.37211240008222,-0.65759487310367,0.510798489843203,NA
"LOC105370124",6.95670697339895,-0.599549744433005,0.53549647893432,-1.11961472767507,0.262877976799686,0.400940107993777
"LOC105370126",1.35645633803157,0.766183549367004,1.96208097516339,0.390495376625932,0.696170273420268,0.812831092124797
"LOC105370132",0.570152662488337,1.30131264908725,2.39744621619104,0.542791175167515,0.587273589947614,NA
"LOC105370135",0.20599089583002,-0.587922970408044,7.48743445678492,-0.0785212844000635,0.937413399988802,NA
"LOC105370139",0.110900050498565,2.09788067820282,11.5134984394532,0.182210532205749,0.855417507850473,NA
"LOC105370148",1.39164153693759,3.91197075914486,1.53972180004067,2.5406997283805,0.0110630885832822,0.0287498056899852
"LOC105370159",0.09221066156929,-3.66827923564139,11.4800430554626,-0.319535320374596,0.749320612257553,NA
"LOC105370163",0.130664201491769,0.227185365815002,11.5289076842824,0.0197057147161242,0.984278131981704,NA
"LOC105370168",3.3745101834048,2.14347304086694,0.973179002498447,2.20254756356641,0.0276266532286926,0.063225201645283
"LOC105370173",0.377061821676076,0.228232977527212,3.90521796829476,0.0584430829162838,0.953395698192777,NA
"LOC105370174",0.935665537897765,2.15039431718651,1.74450483998217,1.23266744115682,0.217699863958708,0.346852764814567
"LOC105370185",0.115129697753192,1.18884084426646,11.5289076842509,0.103118255157033,0.917869116737681,NA
"LOC105370188",0.175374932172769,0.226644158965823,11.5289076834068,0.0196587712548021,0.984315580190474,NA
"LOC105370190",0.182428174088345,0.22715277437545,11.5289076842144,0.0197028877841108,0.984280387109282,NA
"LOC105370192",0.1461463554183,-0.702483898934235,11.5130398626208,-0.0610163699002711,0.951346172050904,NA
"LOC105370194",0.310035847242657,-2.60837336258851,5.40532932087693,-0.482555864360423,0.629411123514388,NA
"LOC105370195",0.523413388084051,0.226886576719317,11.5289076834474,0.0196797982036987,0.984298806357639,NA
"LOC105370196",0.742323133860696,-1.33702199268543,4.38051367105982,-0.305220367537844,0.760198321018974,NA
"LOC105370198",0.61103132870539,0.237808356434118,2.94045164937459,0.0808747719027102,0.935541543333841,NA
"LOC105370202",0.13915584536198,0.227094026216524,11.5289076835975,0.019697792058793,0.984284452120941,NA
"LOC105370203",10.9290762831022,0.521224503652392,0.492863932660168,1.05754239479272,0.290264116880985,0.432320090841386
"LOC105370204",0.365490720269065,1.19001467565028,4.09578428562471,0.290546228185642,0.771398390238869,NA
"LOC105370205",6.94246262585869,-0.704925106577878,0.536361280405187,-1.31427292075474,0.18875437663823,0.310162740199738
"LOC105370210",1.83351992617506,-1.0018262636198,1.05016585082693,-0.953969568550467,0.340099046604569,0.48633814367247
"LOC105370213",1.09606576898294,1.23091893140629,1.56433125813,0.786865905164955,0.431360368166245,0.582884215613438
"LOC105370224",0.770403444773572,-2.27089997997522,2.10285121696082,-1.07991471848269,0.280180158382856,NA
"LOC105370227",0.271480462875223,0.227945536741601,6.05612370909379,0.0376388508047352,0.969975631393077,NA
"LOC105370228",0.0994824278380518,1.18903519206069,11.5289076845701,0.103135112587644,0.917855737786878,NA
"LOC105370234",0.357430342658917,-1.78899928045633,11.5094028080999,-0.155438063145839,0.87647597875757,NA
"LOC105370236",0.259971234906853,-0.733333220759503,7.34340231066371,-0.0998628686997844,0.920453195429992,NA
"LOC105370239",0.454610924136749,-0.0946645896163136,2.81288008585545,-0.0336539726994883,0.973153082626844,NA
"LOC105370240",0.597865965909404,-2.12018294971921,2.07767953032527,-1.02045715846625,0.307511697536501,NA
"LOC105370256",0.210398936683255,0.226918182197633,11.5289076837908,0.0196825396144573,0.984296619451909,NA
"LOC105370259",0.185741269096274,2.09798906795643,11.5134984393204,0.182219946353705,0.855410120116083,NA
"LOC105370261",2.38546688175927,3.58166062101181,1.42321400165098,2.51660018581672,0.0118493206580615,0.030561662481459
"LOC105370262",0.334621745027992,0.228186241155032,4.35688552331876,0.0523737059268008,0.958230924985438,NA
"LOC105370265",0.149721033979294,-0.732607475081376,11.5289076837969,-0.0635452633653237,0.949332317095901,NA
"LOC105370266",0.775567157945763,1.12952943534558,2.05003221808527,0.55098130916233,0.581646487391925,NA
"LOC105370269",0.224570604030898,1.10249192819443,7.44789894080501,0.148027240562325,0.8823212702025,NA
"LOC105370274",1.98326686483868,1.56323641770068,1.34332525176057,1.16370656745408,0.24454294701909,0.379251446082611
"LOC105370276",0.177281737797554,1.18849279246736,11.5289076844209,0.103088065669341,0.917893076774036,NA
"LOC105370295",0.29322129279576,0.226873697621722,11.5289076841256,0.0196786810891121,0.984299697513544,NA
"LOC105370297",8.3702722700103,1.60964739706521,0.53711153322006,2.99685874815449,0.00272777072753801,0.00831873813258186
"LOC105370310",0.157235146677707,0.226897391064364,11.528907683885,0.0196807362228703,0.984298058071549,NA
"LOC105370311",0.180098441415797,0.227143538077469,11.528907683385,0.0197020866430233,0.984281026203331,NA
"LOC105370312",0.137521238546248,-1.66430216154612,11.5130372579031,-0.144558045306738,0.885059824192373,NA
"LOC105370315",0.0905882919096057,-0.732479131460684,11.5289076845204,-0.0635341310299646,0.949341181502233,NA
"LOC105370324",4.29041425151586,-0.639700823270416,0.710801521568944,-0.899971094403979,0.368135633599091,0.516469729582424
"LOC105370327",0.89837863404465,-1.60529237720893,1.521445056737,-1.05511031772107,0.291374873747502,0.433687913401823
"LOC105370328",0.258557358852269,2.04524618675137,5.54256031665715,0.369007474867663,0.712122153223869,NA
"LOC105370330",0.210038889814013,0.227287983502473,11.5289076842706,0.0197146156190125,0.984271031468088,NA
"LOC105370335",0.599342597530612,-1.67863595930986,5.1143141996835,-0.328223080117709,0.742742998208037,NA
"LOC105370337",0.149989372222444,1.13791316752341,11.5134964637191,0.0988329801558688,0.921270882300258,NA
"LOC105370346",0.476551269856134,-1.66361732969232,2.7481766431133,-0.605353128905014,0.544944387189977,NA
"LOC105370349",0.450136081160168,-3.53130315273733,5.22962416283433,-0.675249892302673,0.49951701316595,NA
"LOC105370353",0.67834184562523,-0.753405406372285,2.15465285781811,-0.349664403543508,0.726590571097632,NA
"LOC105370355",0.125681603731825,-1.64239508067354,11.4920088309271,-0.142916273807026,0.886356305869666,NA
"LOC105370356",0.336504766595291,0.228442710841616,4.77912997389059,0.0478000623732033,0.961875586848115,NA
"LOC105370359",2.94796271909174,3.05885991313773,1.72337135794368,1.77492790456234,0.0759097920970946,0.148796644955622
"LOC105370360",0.72691217232081,0.228410900434957,2.18097620579859,0.104728744783037,0.91659105234292,NA
"LOC105370362",0.792090170464247,0.883692486195663,1.81924120764823,0.485747839528123,0.627145960529212,0.758459734403684
"LOC105370363",6.83855184339072,1.58872107405719,0.657221257579526,2.41733062607907,0.0156348084504949,0.0388961256091228
"LOC105370365",1.52195290431707,2.3480969515757,1.21106531522805,1.93886896276403,0.0525172961024766,0.109136689462709
"LOC105370384",3.6896191559592,-1.1473226555716,0.869883434751885,-1.31893838845069,0.187189710965809,0.308134550819383
"LOC105370397",0.410617236352219,-0.733358440443494,4.32432361042415,-0.169589167349935,0.865333242343478,NA
"LOC105370398",0.449359964941825,0.227175792885262,11.5289076834762,0.0197048843760682,0.984278794368601,NA
"LOC105370399",0.308232394389628,0.228479926542328,5.06909769609112,0.045073095892098,0.964049045989059,NA
"LOC105370406",0.837834326150875,1.19020998466741,2.09404308055015,0.568378939154735,0.569777688022278,0.71033022022655
"LOC105370408",7.36073208365632,-1.16074194114683,0.714588769478226,-1.62434954301671,0.104301229215524,0.193343003446706
"LOC105370412",1.38410870303497,0.227022673817414,11.5289076834033,0.0196916030600391,0.984289389269887,0.990232608841792
"LOC105370413",2.9615614736963,-1.53076791880567,0.860804678267557,-1.77829879118045,0.0753547947939467,0.147877368031156
"LOC105370421",0.493588867453245,0.228362880050028,2.89823824009221,0.0787936881416494,0.937196724573003,NA
"LOC105370429",0.90139176758341,-0.761169645517179,1.69647084657223,-0.448678294151147,0.653663744957428,0.77998956225887
"LOC105370438",0.386840410431097,-2.37319578315656,11.4959871299129,-0.206436885874849,0.83644966052881,NA
"LOC105370446",0.164168799250398,0.227048038187385,11.5289076839634,0.0196938031261371,0.984287634211455,NA
"LOC105370447",3.08386349014423,-0.346999913844089,0.871702879648533,-0.398071317584723,0.690577616285275,0.808712500319684
"LOC105370449",0.883529266003428,0.608656114745436,1.75115565559958,0.347573965112219,0.728160161412363,0.837962621237792
"LOC105370453",0.0984621074098045,-0.732596177752389,11.5289076843664,-0.0635442834489702,0.949333097379071,NA
"LOC105370455",0.179380810645113,-0.732941967330541,11.5289076835401,-0.0635742767180771,0.949309214502286,NA
"LOC105370456",0.125546412309727,0.227044162114548,11.5289076841705,0.019693466921093,0.984287902412255,NA
"LOC105370459",0.988125207956487,1.70901944641645,1.70970353703253,0.999599877638863,0.31750418239716,0.46225687343079
"LOC105370460",0.382484982561042,-1.54647401499625,3.62101541410865,-0.427082969315922,0.669318896991836,NA
"LOC105370461",14.9544473733556,-0.178626145036095,0.42050678592561,-0.424787782301556,0.670991384967293,0.793150933404882
"LOC105370462",1.37498686746256,-1.03438847322878,1.24496771634208,-0.830855659669621,0.40605517493011,0.556673857781216
"LOC105370463",0.321594119020384,1.30235706505678,4.20202972596244,0.309935233682452,0.756610208572021,NA
"LOC105370464",0.400654831507302,0.279458830544572,3.66492955766093,0.0762521696932507,0.9392184780531,NA
"LOC105370475",0.852886116059724,0.270940257539812,1.95312921537995,0.138721112462139,0.889670534072381,0.950747182539741
"LOC105370476",0.264344931953938,1.21062332522976,11.5112861653862,0.105168380651507,0.916242200137754,NA
"LOC105370478",0.189532303355086,0.227010393768458,11.5289076837994,0.0196905379065058,0.984290238974698,NA
"LOC105370480",0.824137567819453,3.38391846615293,1.77263658038933,1.90897474619965,0.0562653495210576,0.115659628420009
"LOC105370482",0.603314407464996,-2.92292807466258,3.93275097672191,-0.743227346954712,0.457344049324547,NA
"LOC105370485",1.82886178488561,-0.999774335192408,1.17226915258653,-0.852853914125846,0.393740321371223,0.543477443091126
"LOC105370495",0.111473593497244,-1.54616904288222,11.516781300535,-0.134253573332194,0.893202063916467,NA
"LOC105370497",0.782395456977297,0.986407186507481,1.49272606351242,0.660809247335338,0.508734651702502,NA
"LOC105370500",0.815895587506033,-0.684693635658092,1.90995260397058,-0.358487239020847,0.719978715977984,0.830912994098372
"LOC105370502",0.30099259811569,1.18818981594029,11.5289076831769,0.103061785955153,0.917913933860004,NA
"LOC105370504",30.3795381886148,0.0434383582224031,0.278584329199379,0.155925347083378,0.876091865585464,0.94210136167952
"LOC105370507",0.168844739919643,0.226879523298586,11.5289076839095,0.0196791863998733,0.984299294411949,NA
"LOC105370508",0.988772566273706,0.829648841355482,1.60839600642415,0.515823738707228,0.605977521110597,0.74166179782555
"LOC105370512",0.137796725596482,-1.56368899452982,11.5162065710519,-0.135781603506525,0.891993934634359,NA
"LOC105370513",0.133581450815955,0.227068286048939,11.5289076838913,0.0196955593951202,0.984286233183291,NA
"LOC105370518",0.111112243557119,0.227095559363461,11.5289076843863,0.0196979250402897,0.98428434603764,NA
"LOC105370519",1.12463388138749,1.15699369064669,1.5998463673787,0.723190497686591,0.469562855956098,0.620750305726962
"LOC105370525",2.55557598628054,-1.23174723508558,1.17662905342994,-1.04684414471576,0.295171466499781,0.437804775606174
"LOC105370528",0.2783340480206,-2.57356426756457,9.06412426540978,-0.283928617062955,0.776465085343634,NA
"LOC105370531",0.968420130443834,-1.36301157882413,1.41988475170674,-0.959945218924104,0.337082786354141,0.483012113969772
"LOC105370532",4.53111793812724,0.235295981894593,0.847101152315065,0.277766098241687,0.781191917123897,0.878459722123171
"LOC105370538",0.0912174287130114,0.227317810385981,11.5289076848478,0.0197172027567487,0.984268967631995,NA
"LOC105370542",2.6344650888962,-0.779636964401415,0.937823747004814,-0.831325680215915,0.405789671116903,0.556370738964485
"LOC105370546",0.163548977689005,0.227084191181757,11.5289076840229,0.0196969389820388,0.984285132645682,NA
"LOC105370547",0.226873472155842,0.227713881942706,7.45204888657825,0.0305572179421471,0.975622661339095,NA
"LOC105370563",0.172401955114344,0.226965408715222,11.5289076841283,0.019686635970525,0.984293351665814,NA
"LOC105370564",0.129934656251686,1.18880280118311,11.5289076838242,0.103114955361388,0.917871735633199,NA
"LOC105370567",6.68158081243434,-0.821564776354746,0.654179929606054,-1.25586973732057,0.209163202266823,0.336330564302009
"LOC105370569",2.2032158092166,0.975454725691225,1.21973959816225,0.799723750184805,0.423870869327896,0.575449209900328
"LOC105370573",3.3726568368362,3.6574935988044,1.40556697185091,2.6021482234945,0.00926418025911476,0.0246157314570306
"LOC105370577",0.253625688895821,0.22697974153894,10.5358764893412,0.0215435081996802,0.982812096981685,NA
"LOC105370579",7.45408820800757,0.69206406749867,0.659062538085253,1.05007344145109,0.293684348297705,0.43616694145405
"LOC105370594",9.54285187575733,0.847970320108313,0.547765072725817,1.54805474523704,0.121609116457153,0.218352749437539
"LOC105370598",16.0710275615569,0.660546463855705,1.17986995550362,0.559846838013394,0.575583912679049,0.715220587017816
"LOC105370604",0.108384867285749,0.227092061709782,11.528907683812,0.0196976216600855,0.984284588053065,NA
"LOC105370614",1.87340060172399,2.02679362527598,1.30604801002497,1.55185231302273,0.120697565403458,0.217136055139004
"LOC105370615",0.74894324966209,0.536694162388326,1.42960625209992,0.375413972623572,0.70735261490178,NA
"LOC105370624",10.2024670810863,-1.07291071154541,0.457834284736109,-2.34344772184072,0.0191064396619216,0.0460251432917222
"LOC105370635",0.645536838114224,-0.733264741456716,9.05397374312165,-0.080988167434634,0.935451362611323,NA
"LOC105370647",0.273906438171216,1.18982727286865,5.54451525631105,0.214595364583825,0.830082808271766,NA
"LOC105370661",0.36925241379298,0.22795936072104,5.90373328758915,0.0386127471578462,0.969199139110388,NA
